 Variables = "X", "Y", "Z"
Zone i=   31 j=   41 f=point
 0.46586E+00   0.12850E-01  -0.53514E-02
 0.46679E+00   0.14163E-01  -0.50301E-02
 0.46817E+00   0.15132E-01  -0.47188E-02
 0.46977E+00   0.15869E-01  -0.44083E-02
 0.47154E+00   0.16330E-01  -0.40928E-02
 0.47343E+00   0.16523E-01  -0.37681E-02
 0.47541E+00   0.16551E-01  -0.34178E-02
 0.47747E+00   0.16529E-01  -0.30668E-02
 0.47962E+00   0.16494E-01  -0.27355E-02
 0.48186E+00   0.16452E-01  -0.24225E-02
 0.48419E+00   0.16401E-01  -0.21234E-02
 0.48662E+00   0.16344E-01  -0.18341E-02
 0.48915E+00   0.16283E-01  -0.15461E-02
 0.49178E+00   0.16219E-01  -0.12605E-02
 0.49451E+00   0.16149E-01  -0.95801E-03
 0.49724E+00   0.16075E-01  -0.64059E-03
 0.49987E+00   0.16000E-01  -0.31476E-03
 0.50239E+00   0.15924E-01   0.24065E-04
 0.50481E+00   0.15851E-01   0.34153E-03
 0.50715E+00   0.15780E-01   0.63751E-03
 0.50939E+00   0.15711E-01   0.91587E-03
 0.51155E+00   0.15645E-01   0.11795E-02
 0.51362E+00   0.15580E-01   0.14294E-02
 0.51562E+00   0.15518E-01   0.16660E-02
 0.51754E+00   0.15458E-01   0.18931E-02
 0.51938E+00   0.15400E-01   0.21073E-02
 0.52116E+00   0.15344E-01   0.23095E-02
 0.52286E+00   0.15290E-01   0.25023E-02
 0.52451E+00   0.15237E-01   0.26856E-02
 0.52609E+00   0.15186E-01   0.28603E-02
 0.46532E+00   0.13524E-01  -0.53174E-02
 0.46588E+00   0.14979E-01  -0.50354E-02
 0.46685E+00   0.16263E-01  -0.47339E-02
 0.46825E+00   0.17191E-01  -0.44294E-02
 0.46986E+00   0.17884E-01  -0.41199E-02
 0.47164E+00   0.18306E-01  -0.38017E-02
 0.47353E+00   0.18472E-01  -0.34733E-02
 0.47551E+00   0.18487E-01  -0.31284E-02
 0.47757E+00   0.18459E-01  -0.28011E-02
 0.47972E+00   0.18419E-01  -0.24960E-02
 0.48195E+00   0.18371E-01  -0.22033E-02
 0.48428E+00   0.18314E-01  -0.19196E-02
 0.48671E+00   0.18250E-01  -0.16420E-02
 0.48923E+00   0.18182E-01  -0.13643E-02
 0.49185E+00   0.18109E-01  -0.10805E-02
 0.49458E+00   0.18031E-01  -0.78236E-03
 0.49731E+00   0.17948E-01  -0.46123E-03
 0.49993E+00   0.17863E-01  -0.13454E-03
 0.50244E+00   0.17779E-01   0.19773E-03
 0.50486E+00   0.17698E-01   0.50559E-03
 0.50719E+00   0.17619E-01   0.79141E-03
 0.50943E+00   0.17543E-01   0.10604E-02
 0.51158E+00   0.17469E-01   0.13179E-02
 0.51365E+00   0.17397E-01   0.15647E-02
 0.51564E+00   0.17328E-01   0.17997E-02
 0.51756E+00   0.17261E-01   0.20256E-02
 0.51940E+00   0.17196E-01   0.22389E-02
 0.52117E+00   0.17133E-01   0.24404E-02
 0.52287E+00   0.17072E-01   0.26328E-02
 0.52451E+00   0.17013E-01   0.28159E-02
 0.52609E+00   0.16956E-01   0.29907E-02
 0.46532E+00   0.15685E-01  -0.50064E-02
 0.46590E+00   0.17131E-01  -0.47407E-02
 0.46691E+00   0.18381E-01  -0.44486E-02
 0.46834E+00   0.19267E-01  -0.41483E-02
