import time: self [us] | cumulative | imported package
import time:      1007 |       1007 |               IPython.core.magics.packaging
import time:      2227 |       2227 |               IPython.core.magics.pylab
import time:      1903 |       1903 |               IPython.core.magics.script
import time:      2307 |      37941 |             IPython.core.magics
import time:      1252 |       1252 |             IPython.core.shellapp
import time:      1154 |       1154 |               IPython.extensions
import time:      1598 |       2751 |             IPython.extensions.storemagic
import time:      1954 |      43896 |           IPython.terminal.ipapp
import time:      3334 |     519736 |         IPython.terminal.embed
import time:      1099 |       1099 |         IPython.utils.frame
import time:     33041 |     668369 |       plotly.tools
import time:      1050 |       1050 |       plotly.offline._plotlyjs_version
import time:      1288 |     670706 |     plotly.offline.offline
import time:      1171 |     671876 |   plotly.offline
import time:        61 |     671937 | plotly.offline.offline
import time:       868 |        868 | plotly.animation
import time:      1551 |       1551 | plotly.graph_objs.layout
import time:       979 |        979 | plotly.validator_cache
import time:       728 |        728 |     _plotly_utils.colors._swatches
import time:       774 |        774 |     _plotly_utils.colors.colorbrewer
import time:       806 |        806 |     _plotly_utils.colors.carto
import time:      1277 |       3584 |   _plotly_utils.colors.qualitative
import time:       677 |        677 |     _plotly_utils.colors.plotlyjs
import time:       711 |        711 |     _plotly_utils.colors.cmocean
import time:       840 |       2227 |   _plotly_utils.colors.sequential
import time:       685 |        685 |   _plotly_utils.colors.diverging
import time:       678 |        678 |   _plotly_utils.colors.cyclical
import time:      1464 |       8636 | _plotly_utils.colors
import time:      1159 |       1159 | pandas.io.formats.html
import time:       716 |        716 | webbrowser
import time:       741 |        741 | plotly.io._utils
import time:      1711 |       1711 |   _plotly_utils.png
import time:      1584 |       1584 |         defusedxml.common
import time:      1687 |       3271 |       defusedxml
import time:       138 |        138 |         xml.etree
import time:       496 |        496 |         xml.etree.ElementPath
import time:        92 |         92 |         _elementtree
import time:      1145 |       1869 |       xml.etree.ElementTree
import time:         8 |          8 |       _elementtree
import time:      1739 |       6886 |     defusedxml.ElementTree
import time:      4385 |       4385 |     PIL.ExifTags
import time:       694 |        694 |     PIL.ImageMode
import time:      1206 |       1206 |     PIL.TiffTags
import time:       887 |        887 |     PIL._binary
import time:       821 |        821 |     PIL._util
import time:      3406 |       3406 |     PIL._imaging
import time:       740 |        740 |         cffi.lock
import time:       710 |        710 |         cffi.error
import time:      1083 |       1083 |         cffi.model
import time:      1674 |       4205 |       cffi.api
import time:      1434 |       5638 |     cffi
import time:      3102 |      27020 |   PIL.Image
import time:      1047 |      29776 | _plotly_utils.data_utils
import time:       953 |        953 |   plotly.io._json
import time:       893 |       1845 | plotly.io.json
import time:      1139 |       1139 | pandas.core.methods.to_dict
