import time: self [us] | cumulative | imported package
import time:      1007 |      39887 |     pandas.compat.pyarrow
import time:      1841 |      54591 |   pandas.compat
import time:      4138 |       4138 |       pandas._typing
import time:       779 |        779 |       pandas.util._exceptions
import time:      2115 |       7030 |     pandas._config.config
import time:       891 |        891 |     pandas._config.dates
import time:       306 |        306 |         _locale
import time:      1184 |       1490 |       locale
import time:       892 |       2382 |     pandas._config.display
import time:      1538 |      11839 |   pandas._config
import time:      1429 |       1429 |     pandas.core
import time:      2535 |       3963 |   pandas.core.config_init
import time:      1402 |       1402 |       pandas._libs.pandas_parser
import time:      1373 |       1373 |           numpy._core
import time:      1458 |       2830 |         numpy._core._multiarray_umath
import time:       750 |       3579 |       pandas._libs.pandas_datetime
import time:       630 |        630 |                   pandas._libs.tslibs.ccalendar
import time:       708 |        708 |                   pandas._libs.tslibs.np_datetime
import time:      2049 |       3387 |                 pandas._libs.tslibs.dtypes
import time:       699 |        699 |                   pandas._libs.tslibs.base
import time:       856 |        856 |                       pandas._libs.tslibs.nattype
import time:       904 |        904 |                           pandas.compat._optional
import time:       266 |        266 |                             zoneinfo._tzpath
import time:       184 |        184 |                             zoneinfo._common
import time:        72 |         72 |                             _zoneinfo
import time:       562 |       1082 |                           zoneinfo
import time:      1709 |       1709 |                               six
import time:        40 |         40 |                               six.moves
import time:       855 |        855 |                               dateutil.tz._common
import time:       807 |        807 |                               dateutil.tz._factories
import time:        29 |         29 |                                 six.moves.winreg
import time:       929 |        957 |                               dateutil.tz.win
import time:      2212 |       6579 |                             dateutil.tz.tz
import time:      1441 |       8019 |                           dateutil.tz
import time:      1296 |      11299 |                         pandas._libs.tslibs.timezones
import time:       727 |        727 |                             calendar
import time:      2361 |       3088 |                           _strptime
import time:       154 |        154 |                               fcntl
import time:       549 |        549 |                               msvcrt
import time:        31 |         31 |                               _posixsubprocess
import time:      1068 |       1800 |                             subprocess
import time:      1043 |       2843 |                           pandas._config.localization
import time:      1043 |       6973 |                         pandas._libs.tslibs.fields
import time:      1459 |      19729 |                       pandas._libs.tslibs.timedeltas
import time:       911 |        911 |                       pandas._libs.tslibs.tzconversion
import time:      1397 |      22892 |                     pandas._libs.tslibs.timestamps
import time:       595 |        595 |                     pandas._libs.properties
import time:      2013 |      25498 |                   pandas._libs.tslibs.offsets
import time:       687 |        687 |                           dateutil._common
import time:       850 |       1536 |                         dateutil.relativedelta
import time:      1860 |       3396 |                       dateutil.parser._parser
import time:       997 |        997 |                       dateutil.parser.isoparser
import time:      1473 |       5865 |                     dateutil.parser
import time:      1157 |       1157 |                     pandas._libs.tslibs.strptime
import time:      1110 |       8131 |                   pandas._libs.tslibs.parsing
import time:      1146 |      35473 |                 pandas._libs.tslibs.conversion
import time:      1052 |       1052 |                 pandas._libs.tslibs.period
import time:       819 |        819 |                 pandas._libs.tslibs.vectorized
import time:      1665 |      42394 |               pandas._libs.tslibs
import time:        62 |      42455 |             pandas._libs.tslibs.nattype
import time:       596 |        596 |             pandas._libs.ops_dispatch
import time:       952 |      44002 |           pandas._libs.missing
import time:      1963 |      45965 |         pandas._libs.hashtable
import time:      1317 |       1317 |         pandas._libs.algos
import time:      1369 |      48650 |       pandas._libs.interval
import time:      1895 |      55524 |     pandas._libs
import time:      1667 |       1667 |       pandas.core.dtypes
import time:      1669 |       1669 |       pandas._libs.lib
import time:      2913 |       2913 |       pandas.errors
import time:      1377 |       1377 |         pandas.core.dtypes.generic
import time:      1297 |       2674 |       pandas.core.dtypes.base
import time:      1026 |       1026 |       pandas.core.dtypes.inference
import time:      3548 |      13494 |     pandas.core.dtypes.dtypes
import time:      1122 |       1122 |       pandas.core.dtypes.common
import time:      1057 |       2178 |     pandas.core.dtypes.missing
import time:      1115 |       1115 |       pandas.util._decorators
import time:      1244 |       1244 |           pandas.io
import time:      1327 |       2570 |         pandas.io._util
import time:      1366 |       3936 |       pandas.core.dtypes.cast
import time:       927 |        927 |         pandas.core.dtypes.astype
import time:       876 |       1802 |       pandas.core.dtypes.concat
import time:      1173 |       1173 |         pandas.core.array_algos
import time:       850 |        850 |           pandas.core.common
import time:       912 |       1762 |         pandas.core.construction
import time:      1461 |       4395 |       pandas.core.array_algos.take
import time:      1330 |       1330 |         pandas.core.indexers.utils
import time:      1212 |       2541 |       pandas.core.indexers
import time:      1733 |      15519 |     pandas.core.algorithms
import time:      6081 |       6081 |             pyarrow._compute
import time:       808 |        808 |             pyarrow._compute_docstrings
import time:      1100 |       1100 |             pyarrow.vendored
import time:       657 |        657 |                 pkgutil
import time:      1662 |       2318 |               pydoc
import time:       534 |        534 |                     org
import time:        77 |        611 |                   org.python
import time:        80 |        690 |                 org.python.core
import time:       496 |       1185 |               copy
import time:      2435 |       5938 |             pyarrow.vendored.docscrape
import time:     31706 |      45631 |           pyarrow.compute
import time:      1570 |      47200 |         pandas.core.arrays.arrow.accessors
import time:        66 |         66 |           unicodedata
import time:       859 |        859 |           pandas.util._validators
import time:      1101 |       1101 |           pandas.core.missing
import time:      1004 |       1004 |               pandas._libs.ops
import time:       772 |        772 |               pandas.core.roperator
import time:      1245 |       1245 |               pandas.core.computation
import time:      1229 |       1229 |                 pandas.core.computation.check
import time:      1350 |       2579 |               pandas.core.computation.expressions
import time:       802 |        802 |               pandas.core.ops.missing
import time:       879 |        879 |               pandas.core.ops.dispatch
import time:       834 |        834 |               pandas.core.ops.invalid
import time:      2195 |      10306 |             pandas.core.ops.array_ops
import time:       854 |        854 |             pandas.core.ops.common
import time:       880 |        880 |             pandas.core.ops.docstrings
import time:       818 |        818 |             pandas.core.ops.mask_ops
import time:      1662 |      14518 |           pandas.core.ops
import time:      1085 |       1085 |           pandas.core.arraylike
import time:      1163 |       1163 |           pandas.core.arrays._arrow_string_mixins
import time:       853 |        853 |           pandas.core.arrays._utils
import time:      1329 |       1329 |             pandas.compat.numpy.function
import time:       774 |        774 |             pandas.core.array_algos.quantile
import time:      1569 |       1569 |             pandas.core.sorting
import time:      1607 |       5278 |           pandas.core.arrays.base
import time:      2195 |       2195 |             pandas.core.nanops
import time:       856 |        856 |             pandas.core.array_algos.masked_accumulations
import time:       850 |        850 |             pandas.core.array_algos.masked_reductions
import time:      1262 |       1262 |               pandas.core.util
import time:      1090 |       1090 |               pandas._libs.hashing
import time:      1282 |       3632 |             pandas.core.util.hashing
import time:      1929 |       9461 |           pandas.core.arrays.masked
import time:       660 |        660 |             pandas._libs.arrays
import time:       871 |        871 |               pandas.core.arrays.numeric
import time:       916 |       1787 |             pandas.core.arrays.floating
import time:       926 |        926 |             pandas.core.arrays.integer
import time:       746 |        746 |                 pandas.core.array_algos.transforms
import time:      1392 |       2138 |               pandas.core.arrays._mixins
import time:      1154 |       1154 |                 pandas.core.strings
import time:      1088 |       1088 |                 pandas.core.strings.base
import time:      1810 |       4051 |               pandas.core.strings.object_array
import time:      1185 |       7372 |             pandas.core.arrays.numpy_
import time:      1735 |       1735 |             pandas.io.formats
import time:        93 |         93 |                   zlib
import time:      1000 |       1092 |                 shutil
import time:       839 |       1931 |               pandas.io.formats.console
import time:      1559 |       3489 |             pandas.io.formats.printing
import time:      1797 |      17763 |           pandas.core.arrays.string_
import time:      1170 |       1170 |             pandas.tseries
import time:      1534 |       2704 |           pandas.tseries.frequencies
import time:      3105 |      57950 |         pandas.core.arrays.arrow.array
import time:      2344 |     107493 |       pandas.core.arrays.arrow
import time:      1007 |       1007 |       pandas.core.arrays.boolean
import time:        79 |         79 |           _csv
import time:       684 |        763 |         csv
import time:       998 |        998 |         pandas.core.accessor
import time:      1225 |       1225 |         pandas.core.base
import time:      1886 |       4870 |       pandas.core.arrays.categorical
import time:       962 |        962 |         pandas._libs.tslib
import time:      1048 |       1048 |           pandas.core.array_algos.datetimelike_accumulations
import time:      2306 |       3353 |         pandas.core.arrays.datetimelike
import time:      1032 |       1032 |         pandas.core.arrays._ranges
import time:       822 |        822 |         pandas.tseries.offsets
import time:      1499 |       7666 |       pandas.core.arrays.datetimes
import time:      1199 |       1199 |         pandas.core.arrays.timedeltas
import time:      2149 |       3348 |       pandas.core.arrays.interval
import time:      1286 |       1286 |       pandas.core.arrays.period
import time:       899 |        899 |             pandas._libs.sparse
import time:      1493 |       2391 |           pandas.core.arrays.sparse.array
import time:      2160 |       4551 |         pandas.core.arrays.sparse.accessor
import time:      1337 |       5888 |       pandas.core.arrays.sparse
import time:      1128 |       1128 |       pandas.core.arrays.string_arrow
import time:      2192 |     134873 |     pandas.core.arrays
import time:       781 |        781 |     pandas.core.flags
import time:       860 |        860 |           pandas._libs.internals
import time:      1173 |       1173 |             pandas.core._numba
import time:      1329 |       2502 |           pandas.core._numba.executor
import time:      1591 |       4951 |         pandas.core.apply
import time:       620 |        620 |               pandas._libs.indexing
import time:      1345 |       1345 |                 pandas.core.indexes
import time:      1397 |       1397 |                   pandas._libs.index
import time:       897 |        897 |                   pandas._libs.writers
import time:       967 |        967 |                   pandas._libs.join
import time:      1066 |       1066 |                   pandas.core.array_algos.putmask
import time:      1043 |       1043 |                   pandas.core.indexes.frozen
import time:      3542 |       3542 |                   pandas.core.strings.accessor
import time:      3463 |      12373 |                 pandas.core.indexes.base
import time:      1143 |       1143 |                   pandas.core.indexes.extension
import time:      1391 |       2533 |                 pandas.core.indexes.category
import time:      2552 |       2552 |                     pandas.core.indexes.range
import time:      1281 |       1281 |                       pandas.core.tools
import time:      1347 |       2628 |                     pandas.core.tools.timedeltas
import time:      2158 |       7338 |                   pandas.core.indexes.datetimelike
import time:       870 |        870 |                   pandas.core.tools.times
import time:      2218 |      10425 |                 pandas.core.indexes.datetimes
import time:      2266 |       2266 |                   pandas.core.indexes.multi
import time:       942 |        942 |                   pandas.core.indexes.timedeltas
import time:      1635 |       4842 |                 pandas.core.indexes.interval
import time:      1209 |       1209 |                 pandas.core.indexes.period
import time:      1889 |      34615 |               pandas.core.indexes.api
import time:      2240 |      37473 |             pandas.core.indexing
import time:       820 |        820 |             pandas.core.sample
import time:      1017 |       1017 |             pandas.core.array_algos.replace
import time:      1551 |       1551 |                 pandas.core.internals.blocks
import time:      1348 |       2899 |               pandas.core.internals.api
import time:      1021 |       1021 |                 pandas.core.internals.base
import time:      1041 |       1041 |                   pandas.core.internals.ops
import time:      3006 |       4046 |                 pandas.core.internals.managers
import time:      1468 |       6535 |               pandas.core.internals.array_manager
import time:      1238 |       1238 |               pandas.core.internals.concat
